"source","report_date","state_name","county_name","cases_count"
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Cochran",8
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Dallam",7
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Dawson",14
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Ector",5
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Gaines",280
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Garza",2
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Hale",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Hockley",2
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Lamar",10
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Lamb",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Lubbock",27
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Lynn",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Martin",3
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Terry",41
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Yoakum",16
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Andrews",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Harris",3
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Midland",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Rockwall",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Travis",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Erath",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Fort Bend",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-cases-new-counties-total-422",2025-04-01,"Texas","Brown",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Cochran",9
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Dallam",7
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Dawson",20
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Ector",8
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Gaines",315
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Garza",2
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Hale",3
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Hockley",3
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Lamar",11
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Lamb",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Lubbock",33
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Lynn",2
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Martin",3
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Terry",43
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Yoakum",17
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Andrews",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Harris",3
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Midland",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Rockwall",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Travis",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Erath",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Fort Bend",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-state-reports-59-new-cases-total-cases-481",2025-04-04,"Texas","Brown",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-505-cases-reported",2025-04-08,"Texas","Cochran",10
"https://www.fox4news.com/news/texas-measles-outbreak-2025-505-cases-reported",2025-04-08,"Texas","Dallam",7
"https://www.fox4news.com/news/texas-measles-outbreak-2025-505-cases-reported",2025-04-08,"Texas","Dawson",20
"https://www.fox4news.com/news/texas-measles-outbreak-2025-505-cases-reported",2025-04-08,"Texas","Ector",8
